TIME,ID,CONVERSION,AVG_TIME,MIN_SUM,MAX_SUM,LIMIT_MIN,LIMIT_MAX,LIMIT_BY_CARD,COMMISSION,CURRENCY
2024-11-24 21:00:00,0,0.5,18.0,700.0,5500.0,61000.0,12900000.0,-,0.035,UZS
2024-11-24 21:00:00,1,0.65,8.0,900.0,9000.0,21000.0,18000000.0,-,0.035,UZS
2024-11-24 21:00:00,2,0.5,18.0,400.0,8500.0,51000.0,13400000.0,-,0.03,RUB
2024-11-24 21:00:00,3,0.5,16.0,900.0,6000.0,61000.0,19800000.0,-,0.045,RUB
2024-11-24 21:00:00,4,0.7,26.0,300.0,6500.0,81000.0,23600000.0,-,0.05,RUB
2024-11-24 21:00:00,5,0.6,14.0,600.0,4500.0,31000.0,28000000.0,-,0.03,RUB
2024-11-24 21:00:00,6,0.55,14.0,500.0,3000.0,71000.0,19200000.0,-,0.015,AZN
2024-11-24 21:00:00,7,0.7,18.0,500.0,4000.0,41000.0,1800000.0,-,0.03,AZN
2024-11-24 21:00:00,8,0.65,16.0,500.0,4000.0,61000.0,26700000.0,-,0.03,AZN
2024-11-24 21:00:00,9,0.55,26.0,700.0,9500.0,41000.0,1500000.0,-,0.035,AZN
2024-11-24 21:00:00,10,0.7,12.0,300.0,4500.0,51000.0,14300000.0,-,0.027,TRY
2024-11-24 21:00:00,11,0.55,18.0,900.0,8000.0,81000.0,25100000.0,-,0.05,TRY
2024-11-24 21:00:00,12,0.6,8.0,100.0,9000.0,21000.0,27800000.0,-,0.04,TRY
2024-11-24 21:00:00,13,0.6,14.0,700.0,8500.0,61000.0,15300000.0,-,0.03,KZT
2024-11-24 21:00:00,14,0.65,20.0,600.0,5500.0,41000.0,38400000.0,-,0.015,BRL
2024-11-24 21:00:00,15,0.6,12.0,600.0,8500.0,91000.0,14600000.0,-,0.03,BRL
2024-11-24 21:00:00,16,0.6,20.0,400.0,8500.0,51000.0,6100000.0,-,0.05,BRL
2024-11-24 21:00:00,17,0.55,16.0,700.0,8500.0,1000.0,2800000.0,-,0.035,EUR
2024-11-24 21:00:00,18,0.5,14.0,900.0,4500.0,61000.0,27200000.0,-,0.027,EUR
2024-11-24 21:00:00,19,0.6,12.0,300.0,5000.0,91000.0,28100000.0,-,0.045,EUR
2024-11-24 21:00:00,20,0.7,24.0,800.0,3000.0,51000.0,12600000.0,-,0.05,PHP
2024-11-24 21:00:00,21,0.5,16.0,100.0,5000.0,91000.0,25100000.0,-,0.04,JPY
2024-11-24 21:00:00,22,0.75,18.0,300.0,4500.0,61000.0,3900000.0,-,0.04,JPY
2024-11-24 21:00:00,23,0.55,24.0,600.0,6500.0,61000.0,33400000.0,-,0.03,JPY
2024-11-24 21:00:00,24,0.6,26.0,200.0,8500.0,51000.0,26600000.0,-,0.027,AUD
2024-11-24 21:00:00,25,0.65,10.0,300.0,7000.0,1000.0,30500000.0,-,0.027,AUD
2024-11-24 21:00:00,26,0.65,26.0,700.0,6000.0,31000.0,18600000.0,-,0.045,MYR
2024-11-24 21:00:00,27,0.75,18.0,100.0,4500.0,21000.0,5000000.0,-,0.04,MYR
2024-11-24 21:00:00,28,0.65,22.0,200.0,9000.0,61000.0,20900000.0,-,0.045,MYR
2024-11-24 21:00:00,29,0.65,14.0,100.0,9000.0,81000.0,14700000.0,-,0.03,USD
2024-11-24 21:00:00,30,0.5,8.0,400.0,7000.0,71000.0,31600000.0,-,0.05,USD
2024-11-24 21:00:00,31,0.55,28.0,100.0,5500.0,31000.0,7900000.0,-,0.035,USD
2024-11-24 21:00:00,32,0.6,26.0,600.0,9000.0,61000.0,12000000.0,-,0.027,USD
2024-11-24 21:00:00,33,0.5,10.0,500.0,5500.0,21000.0,7100000.0,-,0.045,USD
2024-11-24 21:00:00,34,0.7,14.0,900.0,3000.0,51000.0,36700000.0,-,0.04,GHS
2024-11-24 21:00:00,35,0.6,20.0,400.0,8000.0,11000.0,34300000.0,-,0.045,GHS
2024-11-24 21:00:00,36,0.7,10.0,900.0,7000.0,51000.0,13700000.0,-,0.045,GHS
2024-11-24 21:00:00,37,0.55,14.0,700.0,7000.0,21000.0,9500000.0,-,0.04,GHS
2024-11-24 21:00:00,38,0.55,20.0,800.0,4500.0,31000.0,13300000.0,-,0.04,GHS
2024-11-24 21:00:00,39,0.7,26.0,300.0,5000.0,21000.0,1800000.0,-,0.05,MXN
2024-11-24 21:00:00,40,0.5,24.0,400.0,7500.0,1000.0,8400000.0,-,0.045,MXN
2024-11-24 21:00:00,41,0.75,18.0,100.0,4500.0,51000.0,11800000.0,-,0.045,MXN
2024-11-24 21:00:00,42,0.6,28.0,800.0,7000.0,41000.0,3300000.0,-,0.027,MXN
2024-11-24 21:00:00,43,0.55,22.0,400.0,4500.0,91000.0,23900000.0,-,0.045,PEN
2024-11-24 21:00:00,44,0.65,14.0,600.0,6500.0,61000.0,30400000.0,-,0.04,PEN
2024-11-24 21:00:00,45,0.75,8.0,400.0,9500.0,1000.0,9400000.0,-,0.05,PEN
2024-11-24 21:00:00,46,0.55,20.0,700.0,7000.0,31000.0,8300000.0,-,0.035,PEN
2024-11-24 21:00:00,47,0.6,18.0,500.0,3000.0,1000.0,10100000.0,-,0.045,PEN
2024-11-24 22:00:00,1,0.5,16.0,400.0,5000.0,81000.0,10800000.0,-,0.04,UZS
